date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:03:11	41866/41866	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:16%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=440,fit=crop/mv0J6lreP1hM886K/1754920998-A85VW6bO0GF1zXo3.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=440,fit=crop/mv0J6lreP1hM886K/1754920998-A85VW6bO0GF1zXo3.png	(from https://codigodivino.site/)
20:03:11	105121/105121	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:20%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754921657-mnlJD7MLKVf1oD47.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754921657-mnlJD7MLKVf1oD47.png	(from https://codigodivino.site/)
20:03:11	42474/42474	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:20%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=440,fit=crop/mv0J6lreP1hM886K/1754921657-mnlJD7MLKVf1oD47.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=440,fit=crop/mv0J6lreP1hM886K/1754921657-mnlJD7MLKVf1oD47.png	(from https://codigodivino.site/)
20:03:11	5250/5250	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:30:33%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=338,fit=crop/mv0J6lreP1hM886K/sinal-de-visto-d954JDv39ZCNNZgr.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=338,fit=crop/mv0J6lreP1hM886K/sinal-de-visto-d954JDv39ZCNNZgr.png	(from https://codigodivino.site/)
20:03:11	5266/5266	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:30:33%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=348,fit=crop/mv0J6lreP1hM886K/sinal-de-visto-d954JDv39ZCNNZgr.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=348,fit=crop/mv0J6lreP1hM886K/sinal-de-visto-d954JDv39ZCNNZgr.png	(from https://codigodivino.site/)
20:03:12	5235/5235	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:30:33%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=300,fit=crop/mv0J6lreP1hM886K/sinal-de-visto-d954JDv39ZCNNZgr.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=300,fit=crop/mv0J6lreP1hM886K/sinal-de-visto-d954JDv39ZCNNZgr.png	(from https://codigodivino.site/)
20:03:12	5236/5236	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:30:33%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=321,fit=crop/mv0J6lreP1hM886K/sinal-de-visto-d954JDv39ZCNNZgr.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=321,fit=crop/mv0J6lreP1hM886K/sinal-de-visto-d954JDv39ZCNNZgr.png	(from https://codigodivino.site/)
20:03:12	5230/5230	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:30:33%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=313,fit=crop/mv0J6lreP1hM886K/sinal-de-visto-d954JDv39ZCNNZgr.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=313,fit=crop/mv0J6lreP1hM886K/sinal-de-visto-d954JDv39ZCNNZgr.png	(from https://codigodivino.site/)
20:03:12	213830/213830	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2014:49:26%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=1920,fit=crop/mv0J6lreP1hM886K/pergament-papier-hintergrund-textur-16442127221im-YZ9jqabgOjt55JG5.jpg	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=1920,fit=crop/mv0J6lreP1hM886K/pergament-papier-hintergrund-textur-16442127221im-YZ9jqabgOjt55JG5.jpg	(from https://codigodivino.site/)
20:03:13	79940/79940	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2014:38:39%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/sala-dos-professores-por-que-a-escola-deve-se-preocupar-com-este-ambiente-2-AVLaE3W48lCNWVZ1.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/sala-dos-professores-por-que-a-escola-deve-se-preocupar-com-este-ambiente-2-AVLaE3W48lCNWVZ1.jpg	(from https://codigodivino.site/)
20:03:13	22001/22001	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2014:38:39%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=198,fit=crop/mv0J6lreP1hM886K/sala-dos-professores-por-que-a-escola-deve-se-preocupar-com-este-ambiente-2-AVLaE3W48lCNWVZ1.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=198,fit=crop/mv0J6lreP1hM886K/sala-dos-professores-por-que-a-escola-deve-se-preocupar-com-este-ambiente-2-AVLaE3W48lCNWVZ1.jpg	(from https://codigodivino.site/)
20:03:13	35182/35182	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2014:38:37%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/discipulado-iglesias-1024x576-YZ9jqaWD25S24k20.jpg	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/discipulado-iglesias-1024x576-YZ9jqaWD25S24k20.jpg	(from https://codigodivino.site/)
20:03:13	9680/9680	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2014:38:37%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=177,fit=crop/mv0J6lreP1hM886K/discipulado-iglesias-1024x576-YZ9jqaWD25S24k20.jpg	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=177,fit=crop/mv0J6lreP1hM886K/discipulado-iglesias-1024x576-YZ9jqaWD25S24k20.jpg	(from https://codigodivino.site/)
20:03:13	47658/47658	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2014:39:57%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/depositphotos_90554238-stock-photo-happy-young-family-reading-a-mxBXLjEWa7tPv4GP.jpg	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/depositphotos_90554238-stock-photo-happy-young-family-reading-a-mxBXLjEWa7tPv4GP.jpg	(from https://codigodivino.site/)
20:03:14	19480/19480	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2014:39:57%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=199,fit=crop/mv0J6lreP1hM886K/depositphotos_90554238-stock-photo-happy-young-family-reading-a-mxBXLjEWa7tPv4GP.jpg	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=199,fit=crop/mv0J6lreP1hM886K/depositphotos_90554238-stock-photo-happy-young-family-reading-a-mxBXLjEWa7tPv4GP.jpg	(from https://codigodivino.site/)
20:03:14	87603/87603	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:18%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754593755-mePJ4397ZvULDebL.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754593755-mePJ4397ZvULDebL.png	(from https://codigodivino.site/)
20:03:14	33161/33161	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:18%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=421,fit=crop/mv0J6lreP1hM886K/1754593755-mePJ4397ZvULDebL.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=421,fit=crop/mv0J6lreP1hM886K/1754593755-mePJ4397ZvULDebL.png	(from https://codigodivino.site/)
20:03:14	86262/86262	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:18%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754593871-Y4LvzE71PnUOvDn5.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754593871-Y4LvzE71PnUOvDn5.png	(from https://codigodivino.site/)
20:03:14	31662/31662	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:18%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=421,fit=crop/mv0J6lreP1hM886K/1754593871-Y4LvzE71PnUOvDn5.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=421,fit=crop/mv0J6lreP1hM886K/1754593871-Y4LvzE71PnUOvDn5.png	(from https://codigodivino.site/)
20:03:15	92409/92409	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:20%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754593730-m6Lbn4NRZqUoJ327.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754593730-m6Lbn4NRZqUoJ327.png	(from https://codigodivino.site/)
20:03:15	31643/31643	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:20%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=402,fit=crop/mv0J6lreP1hM886K/1754593730-m6Lbn4NRZqUoJ327.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=402,fit=crop/mv0J6lreP1hM886K/1754593730-m6Lbn4NRZqUoJ327.png	(from https://codigodivino.site/)
20:03:15	77929/77929	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:18%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754593687-dJobMGvyM8TbRGP6.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754593687-dJobMGvyM8TbRGP6.png	(from https://codigodivino.site/)
20:03:15	27127/27127	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:18%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=417,fit=crop/mv0J6lreP1hM886K/1754593687-dJobMGvyM8TbRGP6.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=417,fit=crop/mv0J6lreP1hM886K/1754593687-dJobMGvyM8TbRGP6.png	(from https://codigodivino.site/)
20:03:15	96375/96375	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:20%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754593781-m5KnqWzo1ltzlGw0.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754593781-m5KnqWzo1ltzlGw0.png	(from https://codigodivino.site/)
20:03:16	35692/35692	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:20%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=421,fit=crop/mv0J6lreP1hM886K/1754593781-m5KnqWzo1ltzlGw0.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=421,fit=crop/mv0J6lreP1hM886K/1754593781-m5KnqWzo1ltzlGw0.png	(from https://codigodivino.site/)
20:03:16	37298/37298	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Aug%202025%2019:17:44%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=325,fit=crop/mv0J6lreP1hM886K/garantia-YrDNbk5xkXtbRqee.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=325,fit=crop/mv0J6lreP1hM886K/garantia-YrDNbk5xkXtbRqee.png	(from https://codigodivino.site/)
20:03:16	46891/46891	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Aug%202025%2019:17:44%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=365,fit=crop/mv0J6lreP1hM886K/garantia-YrDNbk5xkXtbRqee.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=365,fit=crop/mv0J6lreP1hM886K/garantia-YrDNbk5xkXtbRqee.png	(from https://codigodivino.site/)
